id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id1,pound,senate,True,49, ,"[('million', 9), ('elaine', 9), ('year', 9), ('mitch', 9), ('chao', 9), ('mcconnell', 9), ('colombia', 9), ('china', 9), ('maritime', 6), ('foremost', 6), ('washington', 6), ('marta', 6), ('james', 6), ('santa', 6), ('republican', 6), ('august', 6), ('europe', 4), ('chinese', 4), ('united', 4), ('states', 4), ('dollar', 4), ('cocaine', 4), ('corporation', 4), ('new', 2), ('month', 2), ('colombian', 2), ('ping', 2), ('nation', 2), ('york', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('week', 2), ('post', 2), ('late', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,pound,find,False,0, ,[]
id1,pound,majority,False,0, ,[]
id1,pound,anti,False,0, ,[]
id1,pound,ship,True,22, ,"[('million', 3), ('senate', 3), ('elaine', 3), ('year', 3), ('mitch', 3), ('mcconnell', 3), ('chao', 3), ('colombia', 3), ('china', 3), ('dollar', 2), ('europe', 2), ('chinese', 2), ('united', 2), ('cocaine', 2), ('states', 2), ('corporation', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,pound,cargo,False,0, ,[]
id1,pound,leader,False,0, ,[]
id1,pound,mitch,True,49, ,"[('million', 9), ('senate', 9), ('elaine', 9), ('year', 9), ('chao', 9), ('mcconnell', 9), ('colombia', 9), ('china', 9), ('maritime', 6), ('foremost', 6), ('washington', 6), ('marta', 6), ('james', 6), ('santa', 6), ('republican', 6), ('august', 6), ('europe', 4), ('chinese', 4), ('united', 4), ('states', 4), ('dollar', 4), ('cocaine', 4), ('corporation', 4), ('new', 2), ('month', 2), ('colombian', 2), ('ping', 2), ('nation', 2), ('york', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('week', 2), ('post', 2), ('late', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,cocaine,senate,True,49, ,"[('million', 9), ('elaine', 9), ('year', 9), ('mitch', 9), ('chao', 9), ('mcconnell', 9), ('colombia', 9), ('china', 9), ('dollar', 6), ('maritime', 4), ('foremost', 4), ('europe', 4), ('washington', 4), ('pound', 4), ('marta', 4), ('james', 4), ('chinese', 4), ('santa', 4), ('republican', 4), ('united', 4), ('states', 4), ('august', 4), ('corporation', 4), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('state', 2), ('new', 1), ('month', 1), ('colombian', 1), ('ping', 1), ('nation', 1), ('york', 1), ('liberia', 1), ('week', 1), ('post', 1), ('late', 1)]"
id1,cocaine,find,False,0, ,[]
id1,cocaine,majority,False,0, ,[]
id1,cocaine,anti,False,0, ,[]
id1,cocaine,ship,True,20, ,"[('dollar', 2), ('million', 2), ('senate', 2), ('elaine', 2), ('year', 2), ('mitch', 2), ('mcconnell', 2), ('chao', 2), ('colombia', 2), ('china', 2), ('drug', 1), ('family', 1), ('europe', 1), ('schweizer', 1), ('chinese', 1), ('united', 1), ('states', 1), ('peter', 1), ('corporation', 1), ('state', 1)]"
id1,cocaine,cargo,False,0, ,[]
id1,cocaine,leader,False,0, ,[]
id1,cocaine,mitch,True,49, ,"[('million', 9), ('senate', 9), ('elaine', 9), ('year', 9), ('chao', 9), ('mcconnell', 9), ('colombia', 9), ('china', 9), ('dollar', 6), ('maritime', 4), ('foremost', 4), ('europe', 4), ('washington', 4), ('pound', 4), ('marta', 4), ('james', 4), ('chinese', 4), ('santa', 4), ('republican', 4), ('united', 4), ('states', 4), ('august', 4), ('corporation', 4), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('state', 2), ('new', 1), ('month', 1), ('colombian', 1), ('ping', 1), ('nation', 1), ('york', 1), ('liberia', 1), ('week', 1), ('post', 1), ('late', 1)]"
id1,senate,find,False,0, ,[]
id1,senate,majority,False,0, ,[]
id1,senate,anti,False,0, ,[]
id1,senate,ship,True,21, ,"[('million', 3), ('elaine', 3), ('year', 3), ('mitch', 3), ('mcconnell', 3), ('chao', 3), ('colombia', 3), ('china', 3), ('dollar', 2), ('europe', 2), ('chinese', 2), ('united', 2), ('cocaine', 2), ('states', 2), ('corporation', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,senate,cargo,False,0, ,[]
id1,senate,leader,False,0, ,[]
id1,senate,mitch,True,49, ,"[('million', 12), ('elaine', 12), ('year', 12), ('chao', 12), ('mcconnell', 12), ('colombia', 12), ('china', 12), ('maritime', 6), ('foremost', 6), ('europe', 6), ('washington', 6), ('pound', 6), ('marta', 6), ('james', 6), ('chinese', 6), ('santa', 6), ('republican', 6), ('united', 6), ('states', 6), ('august', 6), ('dollar', 6), ('cocaine', 6), ('corporation', 6), ('new', 2), ('month', 2), ('colombian', 2), ('ping', 2), ('nation', 2), ('york', 2), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('liberia', 2), ('week', 2), ('post', 2), ('late', 2), ('state', 2)]"
id1,find,majority,False,0, ,[]
id1,find,anti,False,0, ,[]
id1,find,ship,False,0, ,[]
id1,find,cargo,False,0, ,[]
id1,find,leader,False,0, ,[]
id1,find,mitch,False,0, ,[]
id1,majority,anti,False,0, ,[]
id1,majority,ship,False,0, ,[]
id1,majority,cargo,False,0, ,[]
id1,majority,leader,False,0, ,[]
id1,majority,mitch,False,0, ,[]
id1,anti,ship,False,0, ,[]
id1,anti,cargo,False,0, ,[]
id1,anti,leader,False,0, ,[]
id1,anti,mitch,False,0, ,[]
id1,ship,cargo,False,0, ,[]
id1,ship,leader,False,0, ,[]
