id,keyword A,keyword C,exist_B,num_B,keywords B
id5,joe,de,False,0,[]
id5,joe,facto,False,0,[]
id5,de,facto,False,0,[]
id6,offender,jeffrey,False,0,[]
id6,offender,photograph,False,0,[]
id6,offender,biden,False,0,[]
id6,offender,president,False,0,[]
id6,offender,epstein,False,0,[]
id6,offender,joe,False,0,[]
id6,offender,convict,False,0,[]
id6,offender,sex,False,0,[]
id6,jeffrey,photograph,False,0,[]
id6,jeffrey,biden,False,0,[]
id6,jeffrey,president,False,0,[]
id6,jeffrey,epstein,False,0,[]
id6,jeffrey,joe,False,0,[]
id6,jeffrey,convict,False,0,[]
id6,jeffrey,sex,False,0,[]
id6,photograph,biden,False,0,[]
id6,photograph,president,False,0,[]
id6,photograph,epstein,False,0,[]
id6,photograph,joe,False,0,[]
id6,photograph,convict,False,0,[]
id6,photograph,sex,False,0,[]
id6,biden,president,False,0,[]
id6,biden,epstein,False,0,[]
id6,biden,joe,False,0,[]
id6,biden,convict,False,0,[]
id6,biden,sex,False,0,[]
id6,president,epstein,False,0,[]
id6,president,joe,False,0,[]
id6,president,convict,False,0,[]
id6,president,sex,False,0,[]
id6,epstein,joe,False,0,[]
id6,epstein,convict,False,0,[]
id6,epstein,sex,False,0,[]
id6,joe,convict,False,0,[]
id6,joe,sex,False,0,[]
id6,convict,sex,False,0,[]
